用例分类,用例编号,用例名称,锁定设备,iswait,测试步骤,参数,执行状态,实际结果
,,,,,校验-状态是否正确,"{
  ""asr"": {
    ""text"": ""现在几点""
  },
  ""nlg"": {
    ""text"": ""时间""
  }
}",,
Public,public_009,日期技能,,,发送“还有多久元旦”,还有多久元旦,,
,,,,,校验-状态是否正确,"{
  ""asr"": {
    ""text"": ""还有多久元旦""
  },
  ""nlg"": {
    ""text"": ""元旦""
  }
}",,
Public,public_010,闲聊技能,,,发送“你是谁”,你是谁,,
,,,,,校验-状态是否正确,"{
  ""asr"": {
    ""text"": ""你是谁""
  },
  ""nlg"": {
    ""text"": ""小美""
  }
}",,
rasa,rasa_001,空调,,,发送“空调为什么会漏水“音频信息,空调为什么会漏水,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""空调为什么会漏水""
  },
  ""nlg"": {
    
    ""text"": ""排水管堵塞""
  }
}",,
rasa,rasa_002,冰箱,,,发送“冰箱制冷效果不好“音频信息,冰箱制冷效果不好,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""冰箱制冷效果不好""
  },
  ""nlg"": {
    
    ""text"": ""请将冰箱温度调低，关好冰箱门""
  }
}",,
rasa,rasa_003,离线,,,发送“家电离线怎么解决“音频信息,家电离线怎么解决,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""家电离线怎么解决""
  },
  ""nlg"": {
    
    ""text"": ""亲，空调离线可能是由以下问题导致哦""
  }
}",,
rasa,rasa_004,洗衣机,,,发送“为什么洗衣机不脱水“音频信息,为什么洗衣机不脱水,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""为什么洗衣机不脱水啦""
  },
  ""nlg"": {
    
    ""text"": ""请检查：1门盖是否关上""
  }
}",,
rasa,rasa_005,空调,,,发送“什么叫情景体验“音频信息,什么叫情景体验,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""什么叫情景体验""
  },
  ""nlg"": {
    
    ""text"": ""情景体验是科幕空间站通过研究人体健康大数据，综合考虑人体对环境和空间的感受，预设空调参数，让用户一键即达舒适和健康的环境。如果您想使用情景体验，请对我说，小美小美， 打开情景体验""
  }
}",,
rasa,rasa_006,空调,,,发送“什么叫风吹人“音频信息,什么叫风吹人,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""什么叫风吹人""
  },
  ""nlg"": {
    
    ""text"": ""风吹人是通过空调摄像头，计算出人体实时位置，仅对该区域进行送风。送风区域可以跟随人体走动而随时变化，人动，风也动。如您想设置风吹人，请对我说，小美小美，空调打开风吹人。""
  }
}",,
rasa,rasa_007,空调,,,发送“什么叫风避人“音频信息,什么叫风避人,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""什么叫风避人""
  },
  ""nlg"": {
    
    ""text"": ""风避人是通过空调摄像头，计算出人体实时位置，让风避开人体位置。避风区域可以跟随人体走动而随时变化，人在哪里，避风区域就在哪里。如您想设置风避人，请对我说，小美小美， 空调打开风避人。""
  }
}",,
rasa,rasa_008,空调,,,发送“情景体验可以帮我解决什么问题“音频信息,情景体验可以帮我解决什么问题,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""情景体验可以帮我解决什么问题""
  },
  ""nlg"": {
    
    ""text"": ""情景体验是科幕空间站通过研究人体健康大数据，综合考虑人体对环境和空间的感受，预设空调参数，让用户一键即达舒适和健康的环境。如果您想使用情景体验，请对我说，小美小美， 打开情景体验""
  }
}",,
rasa,rasa_009,空调,,,发送“空调加湿箱缺水了怎么办“音频信息,空调加湿箱缺水了怎么办,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""空调加湿箱缺水了怎么办""
  },
  ""nlg"": {
    
    ""text"": ""请查看纸质说明书第17页，《水箱加水及加湿滤网更换》章节查看详细介绍""
  }
}",,
rasa,rasa_010,空调,,,发送“空调水箱缺水了怎么加水“音频信息,空调水箱缺水了怎么加水,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""空调水箱缺水了怎么加水""
  },
  ""nlg"": {
    
    ""text"": ""请查看纸质说明书第17页，《水箱加水及加湿滤网更换》章节查看详细介绍""
  }
}",,
rasa,rasa_011,空调,,,发送“空调缺水了怎么办“音频信息,空调缺水了怎么办,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""空调缺水了怎么办""
  },
  ""nlg"": {
    
    ""text"": ""请查看纸质说明书第17页，《水箱加水及加湿滤网更换》章节查看详细介绍""
  }
}",,
rasa,rasa_012,空调,,,发送“风吹人可以帮我解决什么问题“音频信息,风吹人可以帮我解决什么问题,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""风吹人可以帮我解决什么问题""
  },
  ""nlg"": {
    
    ""text"": ""风吹人是通过空调摄像头，计算出人体实时位置，仅对该区域进行送风。送风区域可以跟随人体走动而随时变化，人动，风也动。如您想设置风吹人，请对我说，小美小美，空调打开风吹人。""
  }
}",,
rasa,rasa_013,空调,,,发送“风避人是什么效果“音频信息,风避人是什么效果,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""风避人是什么效果""
  },
  ""nlg"": {
    
    ""text"": ""风避人是通过空调摄像头，计算出人体实时位置，让风避开人体位置。避风区域可以跟随人体走动而随时变化，人在哪里，避风区域就在哪里。如您想设置风避人，请对我说，小美小美， 空调打开风避人。""
  }
}",,
rasa,rasa_014,空调,,,发送“风避人有什么用“音频信息,风避人有什么用,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""风避人有什么用""
  },
  ""nlg"": {
    
    ""text"": ""风避人是通过空调摄像头，计算出人体实时位置，让风避开人体位置。避风区域可以跟随人体走动而随时变化，人在哪里，避风区域就在哪里。如您想设置风避人，请对我说，小美小美， 空调打开风避人。""
  }
}",,
rasa,rasa_015,空调,,,发送“风避人的意思是什么“音频信息,风避人的意思是什么,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""风避人的意思是什么""
  },
  ""nlg"": {
    
    ""text"": ""风避人是通过空调摄像头，计算出人体实时位置，让风避开人体位置。避风区域可以跟随人体走动而随时变化，人在哪里，避风区域就在哪里。如您想设置风避人，请对我说，小美小美， 空调打开风避人。""
  }
}",,
rasa,rasa_016,空调,,,发送“麻烦告诉我一下什么是情景体验“音频信息,麻烦告诉我一下什么是情景体验,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""麻烦告诉我一下什么是情景体验""
  },
  ""nlg"": {
    
    ""text"": ""情景体验是科幕空间站通过研究人体健康大数据，综合考虑人体对环境和空间的感受，预设空调参数，让用户一键即达舒适和健康的环境。如果您想使用情景体验，请对我说，小美小美， 打开情景体验""
  }
}",,
rasa,rasa_017,空调,,,发送“麻烦告诉我一下什么是风吹人“音频信息,麻烦告诉我一下什么是风吹人,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""麻烦告诉我一下什么是风吹人""
  },
  ""nlg"": {
    
    ""text"": ""风吹人是通过空调摄像头，计算出人体实时位置，仅对该区域进行送风。送风区域可以跟随人体走动而随时变化，人动，风也动。如您想设置风吹人，请对我说，小美小美，空调打开风吹人。""
  }
}",,
故障码问询,gz_001,多轮-空调e1故障码,,,发送“空调e1故障”音频信息,空调e1故障,,
,,,,,发送“数字一”音频信息,数字一,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""数字一""
  },
  ""nlg"": {
    
    ""text"": ""这是空调的外机跟内机通信故障，请通过美的服务微信公众号或电话预约维修服务，服务热线：400-889-9315""
  }
}",,
故障码问询,gz_002,暂不支持的设备,,,发送“微波炉显示C1”音频信息,微波炉显示C1,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""微波炉显示C一""
  },
  ""nlg"": {
    
    ""text"": ""暂时还未有微波炉的信息""
  }
}",,
故障码问询,gz_004,不支持的故障码,,,发送“空调显示C1”音频信息,空调显示C1,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""空调显示C一""
  },
  ""nlg"": {
    
    ""text"": ""空调好像还没有C1这个故障，麻烦再确认下""
  }
}",,
故障码问询,gz_005,单轮-冰箱故障码,,,发送“冰箱e5故障”音频信息,冰箱e5故障,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""冰箱E五故障""
  },
  ""nlg"": {
    
    ""text"": ""您的冰箱冷冻室化霜传感器故障，传感器信号超出设定范""
  }
}",,
故障码问询,gz_006,单轮-空调e2故障码,,,发送“空调e2”音频信息,空调e2,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""空调E二""
  },
  ""nlg"": {
    
    ""text"": ""这是过零检测故障，要换室内主板，请通过美的服务微信公众号或电话预约维修服务""
  }
}",,
故障码问询,gz_007,单轮-洗衣机故障码,,,发送“洗衣机显示E3”音频信息,洗衣机显示E3,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""洗衣机显示E三""
  },
  ""nlg"": {
    
    ""text"": ""由于门锁过热自我保护，无法自锁或者解锁，请等待片刻后再试；或都关闭机器电源，等5秒钟后重新接通后再试""
  }
}",,
故障码问询,gz_008,单轮-电饭煲显示C2,,,发送“电饭煲显示C2”音频信息,电饭煲显示C2,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""电饭煲显示C二""
  },
  ""nlg"": {
    
    ""text"": ""请检查电饭煲出风口是否堵塞？风扇转动是否顺畅""
  }
}",,
故障码问询,gz_009,单轮-电压力锅显示C1,,,发送“电压力锅显示C1”音频信息,电压力锅显示C1,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""电压力锅显示C一""
  },
  ""nlg"": {
    
    ""text"": ""请检查电压力锅内是否有水或食物？若有水或食物，请将电压力锅断电""
  }
}",,
故障码问询,gz_010,单轮-洗碗机显示E2,,,发送“洗碗机显示E2”音频信息,洗碗机显示E2,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""洗碗机显示E二""
  },
  ""nlg"": {
    
    ""text"": ""主人，E2是排水或过水位异常，查看排水管是否堵塞打折，排水泵是否损坏""
  }
}",,
故障码问询,gz_011,单轮-消毒柜显示E3,,,发送“消毒柜显示E3”音频信息,消毒柜显示E3,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""消毒柜显示E三""
  },
  ""nlg"": {
    
    ""text"": ""出现E3报警是机器故障""
  }
}",,
故障码问询,gz_012,单轮-茶吧机显示F1,,,发送“消毒柜显示E3”音频信息,茶吧机显示F1,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""茶吧机显示F一""
  },
  ""nlg"": {
    
    ""text"": ""热水传感器短路""
  }
}",,
冰箱食材,CA_001,设备状态查询,CA,,发送“冰箱里有什么”的音频信息,冰箱里有什么,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""冰箱里有什么""
  },
  ""nlg"": {
    
    ""text"": ""食材""
  }
}",,
冰箱食材,CA_002,查询不存在的食材-鸡蛋,CA,,发送“删除冰箱冷藏室的鸡蛋”的音频信息,删除冰箱冷藏室的鸡蛋,,
,,,,,发送“冰箱里还有鸡蛋吗”的音频信息,冰箱里还有鸡蛋吗,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""冰箱里还有鸡蛋吗""
  },
  ""nlg"": {
    
    ""text"": ""冰箱里已经没有鸡蛋了""
  }
}",,
冰箱食材,CA_003,删除不存在的食材-鸡蛋,CA,,发送“删除冰箱里的鸡蛋”的音频信息,删除冰箱里的鸡蛋,,
,,,,,发送“删除冰箱里的鸡蛋”的音频信息,删除冰箱里的鸡蛋,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""删除冰箱里的鸡蛋""
  },
  ""nlg"": {
    
    ""text"": ""没有找到鸡蛋记录""
  }
}",,
冰箱食材,CA_004,增加食材-鸡蛋,CA,,发送“把鸡蛋放入冰箱冷藏室”的音频信息,把鸡蛋放入冰箱冷藏室,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""把鸡蛋放入冰箱冷藏室""
  },
  ""nlg"": {
    
    ""text"": ""记录""
  }
}",,
冰箱食材,CA_005,场景用例（增加-查询）,CA,,发送“把鸡蛋放入冰箱冷藏室”的音频信息,把鸡蛋放入冰箱冷藏室,,
,,,,,发送“冰箱里还有鸡蛋吗”的音频信息,冰箱里还有鸡蛋吗,,
,,,,,校验-状态是否正确,"{
  
  ""asr"": {
    
    ""text"": ""冰箱里还有鸡蛋吗""
  },
  ""nlg"": {
    
    ""text"": ""冰箱里还有鸡蛋""
  }
}",,
冰箱食材,CA_006,场景用例（增加-删除-查询）,CA,,发送“把鸡蛋放入冰箱冷藏室”的音频信息,把鸡蛋放入冰箱冷藏室,,
,,,,,发送“删除冰箱里的鸡蛋”的音频信息,删除冰箱里的鸡蛋,,
,,,,,发送“冰箱里还有鸡蛋吗”的音频信息,冰箱里还有鸡蛋吗,,
